id,symbol,date,revenue
,MSFT,03/30/2005,8488
,MSFT,06/30/2005,9598
,MSFT,09/30/2005,8257
,MSFT,12/30/2005,8773
,MSFT,03/30/2006,9115
,MSFT,06/30/2006,8922
,MSFT,09/30/2006,8872
,MSFT,12/30/2006,9674
,MSFT,03/30/2007,11087
,MSFT,06/30/2007,12824
,MSFT,09/30/2007,12258
,MSFT,12/30/2007,10134
,MSFT,03/30/2008,12213
,MSFT,06/30/2008,12722
,MSFT,09/30/2008,11940
,MSFT,12/30/2008,12971
,MSFT,03/30/2009,10078
,MSFT,06/30/2009,15394
,MSFT,09/30/2009,10834
,MSFT,12/30/2009,10513
,MSFT,03/30/2010,13056
,MSFT,06/30/2010,15120
,MSFT,09/30/2010,11748
,MSFT,12/30/2010,12869
,MSFT,03/30/2011,13595
,MSFT,06/30/2011,15247
,MSFT,09/30/2011,12531
,MSFT,12/30/2011,13659
,MSFT,03/30/2012,11840
,MSFT,06/30/2012,15764
,MSFT,09/30/2012,13455
,MSFT,12/30/2012,13896
,MSFT,03/30/2013,13384
,MSFT,06/30/2013,16197
,MSFT,09/30/2013,15702
,MSFT,12/30/2013,14158
,MSFT,03/30/2014,14928
,MSFT,06/30/2014,16334
,MSFT,09/30/2014,14425
,MSFT,12/30/2014,15749
,MSFT,03/30/2015,13172
,MSFT,06/30/2015,13924
,MSFT,09/30/2015,14568
,MSFT,12/30/2015,14712
,MSFT,03/30/2016,14084
,MSFT,06/30/2016,15925
,MSFT,09/30/2016,12809
,MSFT,12/30/2016,18469
,MSFT,03/30/2017,16260
,MSFT,06/30/2017,17854
,MSFT,09/30/2017,15152
,MSFT,12/30/2017,17149
,MSFT,03/30/2018,19179
,MSFT,06/30/2018,20048
,MSFT,09/30/2018,17550
,MSFT,12/30/2018,20343
,MSFT,09/30/2019,20401
,MSFT,12/30/2019,23305
