0,1,2,3
CADCHF,561.32,-80.76,2013
CADCHF,-246.90,-264.15,2014
CADCHF,-9.37,-225.44,2015
CADCHF,-60.55,-250.04,2016
CADCHF,-5.55,-236.21,2017
CADJPY,320.88,-77.77,2013
CADJPY,-472.17,-498.94,2014
CADJPY,-127.75,-250.05,2015
CADJPY,306.90,-66.95,2016
CADJPY,320.83,-50.48,2017
CHFJPY,-64.55,-134.04,2013
CHFJPY,55.29,-58.09,2014
CHFJPY,-492.51,-492.51,2015
CHFJPY,-96.87,-282.37,2016
CHFJPY,251.59,-123.52,2017
EURCAD,281.34,-39.60,2013
EURCAD,6.52,-250.04,2014
EURCAD,-493.84,-493.84,2015
EURCAD,166.36,-250.47,2016
EURCAD,479.26,-42.35,2017
EURCHF,111.62,-31.85,2013
EURCHF,89.10,-10.60,2014
EURCHF,459.10,-2.82,2015
EURCHF,4.07,-130.09,2016
EURCHF,152.63,-35.25,2017
EURJPY,373.07,-97.72,2013
EURJPY,-162.26,-250.08,2014
EURJPY,-492.31,-492.31,2015
EURJPY,-97.65,-307.00,2016
EURJPY,-211.29,-352.65,2017
EURGBP,128.97,-114.37,2013
EURGBP,227.89,-48.00,2014
EURGBP,57.32,-204.75,2015
EURGBP,52.62,-235.11,2016
EURGBP,-134.19,-250.31,2017
EURUSD,-81.29,-304.12,2013
EURUSD,152.55,-146.10,2014
EURUSD,-34.81,-250.04,2015
EURUSD,-493.21,-493.21,2016
EURUSD,-146.13,-238.68,2017
GBPCAD,61.90,-160.02,2013
GBPCAD,400.98,-27.39,2014
GBPCAD,-473.70,-473.70,2015
GBPCAD,604.66,-154.92,2016
GBPCAD,-490.96,-490.96,2017
GBPCHF,255.72,-160.19,2013
GBPCHF,231.37,-119.72,2014
GBPCHF,1142.40,-123.60,2015
GBPCHF,-490.59,-490.59,2016
GBPCHF,-103.99,-211.79,2017
GBPUSD,82.83,-166.52,2013
GBPUSD,72.29,-229.50,2014
GBPUSD,-200.01,-406.10,2015
GBPUSD,120.25,-354.82,2016
GBPUSD,17.39,-266.61,2017
GBPJPY,449.34,-106.09,2013
GBPJPY,-123.34,-148.11,2014
GBPJPY,240.35,-445.27,2015
GBPJPY,-142.72,-601.40,2016
GBPJPY,-489.80,-489.80,2017
USDCAD,258.84,-49.70,2013
USDCAD,37.98,-40.90,2014
USDCAD,223.41,-11.63,2015
USDCAD,-480.25,-480.25,2016
USDCAD,-4.63,-162.23,2017
USDCHF,2.48,-100.94,2013
USDCHF,83.49,-189.94,2014
USDCHF,949.50,-0.00,2015
USDCHF,-124.00,-356.76,2016
USDCHF,-145.75,-170.40,2017
USDJPY,243.32,-100.77,2013
USDJPY,146.73,-53.76,2014
USDJPY,30.45,-197.71,2015
USDJPY,155.07,-226.26,2016
USDJPY,71.52,-0.00,2017
